id,title,ratings,director,writer,pri_genre,sec_genre,ter_genre,release_date,language,company,duration,eze_rank
1,Inter,,,,Romance,,,,,,,
2,La Bague Du Roi Koda,6.8,,,Short,,,5/1/1962,French,,24,
3,Earth,,,,Fantasy,,,,,,,
4,Eyo - The Spirit Mortal,,,,Action,,,,,,,
88,Ghost Worker,,,,Short,Mystery,,,,,,
90,Nne,,,,Drama,,,,Ibo,,,
110,Magun,,,,Thriller,,,,,,,
113,No Longer At Home,,,,Thriller,,,,,,,
150,Ikram 2,,,,Drama,,,1/1/2006,Hausa,,,
182,Crave For Love,,,,Drama,,,9/1/2021,English,Adnom Communications,,
215,"Emotional Violence: Words Can Build, Words Can Break",,,,Animation,Short,Drama,9/1/2015,English,,6,
4289,Anna,,Emeka Madu,,Drama,,,2/1/2018,English,Touch Of Sas Concept,113,271
1967,One Good Night,,Orok Duke,Orok Duke,Short,Horror,,10/1/2022,English,,11,6
4587,One Chance,,,,Thriller,,,7/1/2015,English,,,12
2255,Last Offence,,Nonso Emekaekwue,,Drama,,,9/1/2006,English,Simony Productions,,560
2126,Good News 2,,Reginald Ebere,,Drama,,,3/1/2005,English,Cobic Productions,,792
6721,The Web,,Michael Chineme Ike,Michael Chineme Ike,Short,Drama,Thriller,10/1/2020,English,MIC Productions,,3
5607,Eyes Of The Nun 2,,,,Drama,,,5/1/2009,English,Great Favour Production,,578
2816,Silence,,Yemi Morafa,,Drama,,,,English,Dollywhales-Awujo Studios,,126
1305,Blames Of Memories,,Victor Emeghara,,Drama,,,2/1/2005,English,Iyke-Mec Films,,600
5413,Western Union,,Prince Emeka Ani,,Drama,,,12/1/2007,English,Uche 10 Nigeria,,335
6441,Tiger King,,Stan K. Amandi,,Drama,,,1/1/2008,English,Immortal Films,,708
1554,Sharon'S Call,,Okey Ifeanyi,Jide George,Drama,,,9/1/2020,English,"Rok Studios,Supa Pictures Media",83,353
6627,The Storm Is Over 2,,,,Drama,,,9/1/2003,English,Osytex Industries Nigeria,,890
1807,Trilateral,,Akin-Tijani Balogun,Jemilla Suleman,Drama,,,2/1/2022,English,"Mazinni Pictures,Rok Studios",,90
316,Virgins Night Out 2,,Tarila Thompson,,Drama,Romance,,12/1/2004,English,Goldmark International,,281
4014,Handicapped,,Seun Arowojolu,"Seun Arowojolu,Denice Chikaodi,Roy Osuji",Drama,,,2/1/2020,English,,90,64
3914,Arewa Ejo,,Taofeeq Abisogun,,Drama,,,2/1/2009,Yoruba,Jewitura Movies,,40
2047,We Are One 2,,John Uche,,Drama,,,3/1/2004,English,Jem Productions,,497
5635,Awkward Things About Losing Weight,,,,Comedy,,,10/1/2018,English,Wonda Studios,,181
7484,Unforseen,,Emmanuel Akaemeh,,Drama,,,9/1/2016,English,Riyabel Production Service,,266
1049,Koi Koi - The Myth,,Adekunle Lawal McDouglas,Emmanuel Oghieaga,Horror,,,4/1/2022,English,Blackbishop Production,114,136
5123,Blood Battle 2,,Ebere Onwu,,Action,,,12/1/2005,English,Lion Base International,,692
5813,Blood Stain In Bokodo 2,,Moses Eskor,,Drama,,,4/1/2006,English,Samlex Electronics Company,,484
3919,Akan,,Desmond Elliot,"Rita Onwurah,Archie Sam",Drama,,,9/1/2014,"English,Ibibio","Denziot Pictures,Goldwire Productions",100,255
3122,Because Of Love,,Ben Emeh,,Drama,,,3/1/2003,English,Eagle Movies,,372
6602,Too Much,,Daniel Ademinokan,"Ubong Bassey Nya,Ikechukwu Onyeka",Drama,,,6/1/2010,English,Denziot Studios Production,,655
2402,Koroba Koroba,,Yemi Adegunju,,Drama,,,7/1/2003,Yoruba,Wastayo Films,,322
2650,Lost Wealth 2,,Afam Okereke,,Drama,,,10/1/2006,English,Samlex Electronics Company,,424
7289,Ticket To Life,,Geshin Salvador,"Miskeen Anav,Tomisin Ayoade",Drama,,,9/1/2022,English,Meroestream,82,178
2229,Extra Time 2,,Ifeanyi Ikpoenyi,,Drama,,,5/1/2005,English,Kensimon Production,,601
6513,Out Of My League,,Sobe Charles Umeh,Eyo Emmanuel,Romance,,,5/1/2020,English,Rok Studios,,218
6590,The Golden Fish,,Emeka Obiakonwa,Emeka Obiakonwa,Drama,,,8/1/2006,English,Dozac Global Maxima Investment,,543
2317,No Limitation 2,,"Kalu Anya,Chris Oge-Kalu",Chris Oge-Kalu,Drama,,,12/1/2004,English,I.G. Best Industries,,418
4859,I Need A Husband,,Charles Inojie,,Comedy,,,9/1/2007,English,Louis Merchandise,,578
347,The Corridors Of Power 2,,MacCollins Chidebe,,Action,Drama,,10/1/2005,English,Ossy Affason Production,,750
163,Deal Or No Deal,5.2,,,Game-Show,,,7/1/2007,English,Endemol Nigeria,,2
352,Tsalle Daya,,Ali Gumzak,,Drama,,,10/1/2019,Hausa,Dan Hajiya Films,,131
3225,World Of A Prince,,Chika Onu,,Drama,,,1/1/2005,English,Okwytex Ventures Ltd.,,368
148,Last Confession,,Sunday Nnajiude,,Comedy,,,3/1/2005,English,Edumaco Movies International,,457
160,Asiri Ikoko,,Tajudeen Mobolaji Arotambo,,Drama,,,2/1/2005,Yoruba,,,285
3732,The Revelation 2,,Chike Bryan,,Short,Drama,,6/1/2007,English,Great Favour Production,16,222
3186,A Night In The Philippines,,Zeb Ejiro,"Zeb Ejiro,Peter Roc Onwuka",Drama,,,4/1/2006,English,"Angel Light Entertainment,Movieland Network Ltd.,Zeb Ejiro Productions",,401
4949,Living Without You 2,,,,Drama,,,5/1/2005,English,Elonel International Ltd.,,683
1336,Love Gone Mad,,Jerry Isichei,Maria Samson,Drama,,,11/1/2022,English,African Movie Channel,,133
6927,Take Me Home 2,,Emeka Jonathan,"Theodore Anyanji,George Ifediba,Uzor Nwosu",Drama,,,3/1/2007,English,Akagod Investments,,700
7019,Test Your Heart,,Emeka Jonathan,,Drama,,,6/1/2008,English,Bonag Industries Nigeria,,632
5170,Playing Safe,,Elvis Chuks,Elvis Chuks,Drama,,,3/1/2013,English,Diamond Groove pictures,,478
3600,Old Testament,,Nonso Emekaekwue,,Drama,,,10/1/2007,English,"Be Good Ventures,Mac Modesty International",,678
4963,Baby Girl 2,,Tarila Thompson,,Drama,,,5/1/2005,English,Elonel International Ltd.,,507
5229,Ay'S Crib,,,,Comedy,,,5/1/2013,English,Corporate World Entertainment,,153
2069,Separate Lives 2,,Kabat Esosa Egbon,,Drama,,,2/1/2004,English,Kas-Vid International,,689
4353,The Beauty Of The Dark Side,,,,Biography,,,3/1/2021,,iSynthPurple,,1
3712,Otelemuye,,Omogoriola Adeniyi Hassan,,Action,Thriller,,,Yoruba,,,309
6713,One Life,,Tchidi Chikere,,Drama,,,11/1/2007,English,O. Gabby Innovations,,597
4801,Holy City 2,,Ilochi Olisaemeka,,Drama,,,12/1/2008,English,Social Movies,,579
1013,Silent Night 3,,Chico Ejiro,,Drama,,,10/1/1996,English,,95,302
5337,The Little Things,,Feyi Azeez,Mayowa Mula,Short,Drama,,2/1/2022,English,,,9
5660,Help Me Out,,Chika Onu,,Drama,,,3/1/2007,English,Andy Best Electronics,,551
3214,Igba Owuro,,,,Drama,,,3/1/2005,Yoruba,,,231
258,Who Wants To Be A Millionaire?,6.1,,,Game-Show,,,6/1/2004,English,,,2
6032,Asiko Mi Leyi,,Micheal Oladele,,Drama,,,7/1/2007,Yoruba,Corporate Pictures,,213
3158,The Last Offer,,,,Drama,,,1/1/2003,English,Elonel International Ltd.,,506
353,Read My Body,,Theo-Ziny Joel,Theo-Ziny Joel,Short,Drama,,11/1/2022,,Zinifrica,11,5
522,Recession Blues,,Kabat Esosa Egbon,"Shirleyann Ede,Olufunmi Morgan",Drama,,,9/1/2018,English,Little Brothers Global Entertainment,,214
2478,Autail Mata,,Muhammad Ashiru Nagoma,,Drama,,,10/1/2006,Hausa,,,24
3657,Diamond Forever 2,,,,Drama,,,11/1/2005,English,Lucky Geo Ventures,,505
2810,Strange Love 2,,Theodore Anyanji,,Drama,,,7/1/2006,English,Guniks Investment,,937
2693,Last Ofalla,,Andy Chukwu,,Drama,,,10/1/2002,English,,,750
1818,Feel My Pain 2,,Afam Okereke,,Drama,,,10/1/2008,English,Magic Movies Production,,604
5825,My Promise 2,,Moses Ebere,,Drama,,,12/1/2006,English,Somaco Ind.,,277
1448,One God One Nation 2,,Reginald Ebere,Reginald Ebere,Drama,,,8/1/2005,English,P. Collins Productions,,1111
1211,Afefe Ife,,,,Drama,,,11/1/2008,Yoruba,"Isolak Films,Omidire Films",,212
5155,On The Real,9.1,,,Comedy,,,7/1/2016,English,EbonyLife TV,,178
3735,Alpha Baby,,Laughter Ephraim,Jemine Edukugho,Short,Drama,,9/1/2020,English,,15,9
4081,Becoming Mrs. Eze,,Paul Iheanyichukwu Igwe,Adekunle Salawu,Drama,,,11/1/2022,English,African Movie Channel,,118
3950,Mustapha,,Dimeji Ajibola,,Drama,,,10/1/2019,English,"Mela Movies,Rok Studios",,338
2828,So Wrong So Wright 2.0,,,,Drama,,,3/1/2017,English,Genesis Studios,,21
1678,Pretty Angels,,Simi Opeoluwa,Emeka Obiakonwa,Drama,,,2/1/2005,English,Andy Best Electronics,,676
5851,Last Confession 2,,Sunday Nnajiude,,Comedy,,,11/1/2005,English,Edumaco Movies International,,457
3809,Romeo,,William Charles Agbo,,Drama,Romance,,7/1/2006,English,Uche Links Movies,,522
1503,So Wrong So Wright,,,,Drama,,,8/1/2009,English,Genesis Studios,60,39
4329,Dan Ba,,M.J. Saulawa,,Drama,,,11/1/2009,Hausa,,,22
3668,Toromade,,Taofeeq Abisogun,,Drama,Romance,,3/1/2009,Yoruba,,,258
7392,Forest Of Tears 3,,Ifeanyi Ogbonna,,Drama,,,9/1/2009,English,Onyu Best Bright,,558
2499,Take Me To Jesus,,Francis Agu,,Drama,,,10/1/2008,English,Sunshine Movies,,204
1934,Inside Job,,Osita Okoli,,Drama,,,8/1/2005,English,,,579
2493,Exit Plan,,Biodun Stephen,,Drama,,,1/1/2023,English,ShutterSpeed Projects,,177
1147,Governor'S Wife 2,,Victor Emeghara,,Short,Drama,,2/1/2007,English,Kachris Production,,350
6058,Clean Up,,MacCollins Chidebe,,Drama,Romance,,1/1/2003,English,Annex Merchandise Ltd.,,588
4939,Project Fame West Africa,,,,Reality-TV,,,11/1/2008,English,Endemol South Africa,,63
1223,Clash Of Destiny,,Adim Williams,,Drama,,,7/1/2005,English,Simony Productions,,414
429,Sadauki,,Hassan Giggs,"Muhibbat Abdusalam,Yakubo M. Kumo",Drama,Fantasy,,1/1/2019,Hausa,Giggs International,,96
6396,The Sync,,Saheed Apanpa,,Drama,,,5/1/2017,English,Bright Pictures Production,,369
5902,The Reason It'S You,,Alaundra Ada Dikesee,,Drama,,,9/1/2016,,Avail Media Productions,90,51
